PHARMACOLOGICAL_CLASS,DRUG_NAME,GENERIC_NAME,COMBINED_NAME,BENEFICIARY_COUNT,PRESCRIBER_COUNT,TOTAL_CLAIM_COUNT, TOTAL_DRUG_COST 
HEMORRHOIDAL PREPARATIONS WITH STEROID,EPIFOAM,HYDROCORTISONE/PRAMOXINE,EPIFOAM : HYDROCORTISONE/PRAMOXINE,105,105,143,9413
POTASSIUM,EPIKLOR,POTASSIUM CHLORIDE,EPIKLOR : POTASSIUM CHLORIDE,286,286,388,7771
"OPHTHALMICS,OTHER",EPINASTINE HCL,EPINASTINE HCL,EPINASTINE HCL : EPINASTINE HCL,16938,8804,45325,3798218
SYMPATHOMIMETICS (ADRENERGICS),EPINEPHRINE,EPINEPHRINE,EPINEPHRINE : EPINEPHRINE,128,119,139,5033
SYMPATHOMIMETICS (ADRENERGICS),EPINEPHRINE,EPINEPHRINE/PF,EPINEPHRINE : EPINEPHRINE/PF,88,66,93,1815
SYMPATHOMIMETICS (ADRENERGICS),EPIPEN,EPINEPHRINE,EPIPEN : EPINEPHRINE,997,966,1086,147278
SYMPATHOMIMETICS (ADRENERGICS),EPIPEN 2-PAK,EPINEPHRINE,EPIPEN 2-PAK : EPINEPHRINE,201900,110845,232548,62229242
SYMPATHOMIMETICS (ADRENERGICS),EPIPEN JR,EPINEPHRINE,EPIPEN JR : EPINEPHRINE,14,15,16,2280
SYMPATHOMIMETICS (ADRENERGICS),EPIPEN JR 2-PAK,EPINEPHRINE,EPIPEN JR 2-PAK : EPINEPHRINE,2088,1922,2353,643837
ANTINEOPLASTIC ANTIBIOTICS,EPIRUBICIN HCL,EPIRUBICIN HCL,EPIRUBICIN HCL : EPIRUBICIN HCL,17,13,63,7763
ANTICONVULSANTS,EPITOL,CARBAMAZEPINE,EPITOL : CARBAMAZEPINE,20873,20237,104383,817657
ANTIVIRALS,EPIVIR,LAMIVUDINE,EPIVIR : LAMIVUDINE,2807,2494,15289,3131997
ANTIVIRALS,EPIVIR HBV,LAMIVUDINE,EPIVIR HBV : LAMIVUDINE,3210,3163,19610,8993956
POTASSIUM SPARING/COMBINATIONS DIURETICS,EPLERENONE,EPLERENONE,EPLERENONE : EPLERENONE,27591,20225,138158,20786971
BLOOD FORMATION PRODUCTS,EPOGEN,EPOETIN ALFA,EPOGEN : EPOETIN ALFA,2707,2434,8905,5239882
ANGIOTENSIN II INHIBITOR,EPROSARTAN MESYLATE,EPROSARTAN MESYLATE,EPROSARTAN MESYLATE : EPROSARTAN MESYLATE,852,903,3595,552437
ANTIVIRALS,EPZICOM,ABACAVIR SULFATE/LAMIVUDINE,EPZICOM : ABACAVIR SULFATE/LAMIVUDINE,20864,7309,182604,195819432
ANTICONVULSANTS,EQUETRO,CARBAMAZEPINE,EQUETRO : CARBAMAZEPINE,1093,882,6725,1290309
ANTIFUNGALS,ERAXIS (WATER DILUENT),ANIDULAFUNGIN,ERAXIS (WATER DILUENT) : ANIDULAFUNGIN,39,44,191,192003
"ANTINEOPLASTIC,OTHER",ERBITUX,CETUXIMAB,ERBITUX : CETUXIMAB,151,118,677,4851199
ERGOCALCIFEROL,ERGOCALCIFEROL (VITAMIN D2),ERGOCALCIFEROL (VITAMIN D2),ERGOCALCIFEROL (VITAMIN D2) : ERGOCALCIFEROL (VITAMIN D2),29,30,49,350
"CNS MEDICATIONS,OTHER",ERGOLOID MESYLATES,ERGOLOID MESYLATES,ERGOLOID MESYLATES : ERGOLOID MESYLATES,652,543,3100,1475326
ANTIMIGRAINE AGENTS,ERGOMAR,ERGOTAMINE TARTRATE,ERGOMAR : ERGOTAMINE TARTRATE,60,61,103,31893
"ANTINEOPLASTIC,OTHER",ERIVEDGE,VISMODEGIB,ERIVEDGE : VISMODEGIB,994,811,4080,35073651
PROGESTINS,ERRIN,NORETHINDRONE,ERRIN : NORETHINDRONE,2306,2420,9498,257323
"ANTIFUNGAL,TOPICAL",ERTACZO,SERTACONAZOLE NITRATE,ERTACZO : SERTACONAZOLE NITRATE,4533,2888,7110,2037253
"ANTIBIOTICS, PENICILLINS/EXTENDED-SPECTRUM",ZOSYN,PIPERACILLIN SODIUM/TAZOBACTAM,ZOSYN : PIPERACILLIN SODIUM/TAZOBACTAM,1416,1230,3572,1312266
"ANTIBIOTICS, PENICILLINS/EXTENDED-SPECTRUM",ZOSYN,"PIPERACILLIN-TAZO-DEXTROSE,ISO","ZOSYN : PIPERACILLIN-TAZO-DEXTROSE,ISO",1557,1105,4248,1200823
"ANTIBIOTICS, PENICILLINS/MONOBACTAM",AZACTAM,AZTREONAM,AZACTAM : AZTREONAM,798,742,1736,828558
"ANTIBIOTICS, PENICILLINS/MONOBACTAM",AZACTAM-ISO-OSMOTIC DEXTROSE,AZTREONAM/DEXTROSE-WATER,AZACTAM-ISO-OSMOTIC DEXTROSE : AZTREONAM/DEXTROSE-WATER,419,380,1287,482007
"ANTIBIOTICS, PENICILLINS/MONOBACTAM",AZTREONAM,AZTREONAM,AZTREONAM : AZTREONAM,1809,1638,4361,2565267
"ANTIBIOTICS, PENICILLINS/NATURAL",BICILLIN C-R,PEN G BENZ/PEN G PROCAINE,BICILLIN C-R : PEN G BENZ/PEN G PROCAINE,921,374,1691,150898
"ANTIBIOTICS, PENICILLINS/NATURAL",BICILLIN L-A,PENICILLIN G BENZATHINE,BICILLIN L-A : PENICILLIN G BENZATHINE,2676,2073,4930,1264833
"ANTIBIOTICS, PENICILLINS/NATURAL",PENICILLIN G POTASSIUM,PENICILLIN G POTASSIUM,PENICILLIN G POTASSIUM : PENICILLIN G POTASSIUM,164,152,439,335749
"ANTIBIOTICS, PENICILLINS/NATURAL",PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,PENICILLIN G PROCAINE : PENICILLIN G PROCAINE,104,100,149,28112
"ANTIACNE AGENTS,TOPICAL",ERYTHROMYCIN-BENZOYL PEROXIDE,ERYTHROMYCIN/BENZOYL PEROXIDE,ERYTHROMYCIN-BENZOYL PEROXIDE : ERYTHROMYCIN/BENZOYL PEROXIDE,8446,6980,20699,1313512
"ANTIBIOTICS, OTHER",ERYTHROMYCIN-SULFISOXAZOLE,ERY E-SUCC/SULFISOXAZOLE,ERYTHROMYCIN-SULFISOXAZOLE : ERY E-SUCC/SULFISOXAZOLE,135,116,239,11245
FLUORIDE,ESCAVITE,PEDIATRIC MV #47 W-FE&FLUORIDE,ESCAVITE : PEDIATRIC MV #47 W-FE&FLUORIDE,16,15,32,761
ANTIDEPRESSANTS/SNRI,PRISTIQ ER,DESVENLAFAXINE SUCCINATE,PRISTIQ ER : DESVENLAFAXINE SUCCINATE,1090476,255906,6362938,308776858
NON-OPIOID ANALGESICS,ESGIC,BUTALB/ACETAMINOPHEN/CAFFEINE,ESGIC : BUTALB/ACETAMINOPHEN/CAFFEINE,60,61,155,24680
NON-OPIOID ANALGESICS,ESGIC-PLUS,BUTALB/ACETAMINOPHEN/CAFFEINE,ESGIC-PLUS : BUTALB/ACETAMINOPHEN/CAFFEINE,86,89,205,30551
CONTRACEPTIVES/WOMANS HEALTH ,ESTARYLLA,NORGESTIMATE-ETHINYL ESTRADIOL,ESTARYLLA : NORGESTIMATE-ETHINYL ESTRADIOL,162,172,564,6829
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,ESTAZOLAM,ESTAZOLAM,ESTAZOLAM : ESTAZOLAM,17746,7408,73362,1064587
CONTRACEPTIVES/WOMANS HEALTH ,ESTRACE,ESTRADIOL,ESTRACE : ESTRADIOL,237641,77514,416545,62855041
CONTRACEPTIVES/WOMANS HEALTH ,ESTRADIOL,ESTRADIOL,ESTRADIOL : ESTRADIOL,405790,137233,1911551,34542732
CONTRACEPTIVES/WOMANS HEALTH ,ESTRADIOL VALERATE,ESTRADIOL VALERATE,ESTRADIOL VALERATE : ESTRADIOL VALERATE,2086,1981,4726,696536
CONTRACEPTIVES/WOMANS HEALTH ,ESTRADIOL-NORETHINDRONE ACETAT,ESTRADIOL/NORETHINDRONE ACET,ESTRADIOL-NORETHINDRONE ACETAT : ESTRADIOL/NORETHINDRONE ACET,16251,12313,70560,7839992
CONTRACEPTIVES/WOMANS HEALTH ,ESTRASORB,ESTRADIOL,ESTRASORB : ESTRADIOL,63,66,118,8649
CONTRACEPTIVES/WOMANS HEALTH ,ESTRING,ESTRADIOL,ESTRING : ESTRADIOL,26193,14552,66064,14303751
CONTRACEPTIVES/WOMANS HEALTH ,ESTROGEL,ESTRADIOL,ESTROGEL : ESTRADIOL,14,14,42,5311
CONTRACEPTIVES/WOMANS HEALTH ,ESTROPIPATE,ESTROPIPATE,ESTROPIPATE : ESTROPIPATE,24722,21314,113975,1754453
CONTRACEPTIVES/WOMANS HEALTH ,ESTROSTEP FE,NORETH A-ET ESTRA/FE FUMARATE,ESTROSTEP FE : NORETH A-ET ESTRA/FE FUMARATE,16,17,93,13663
"ANTIBIOTICS, ANTITUBERCULARS",ETHAMBUTOL HCL,ETHAMBUTOL HCL,ETHAMBUTOL HCL : ETHAMBUTOL HCL,10888,8126,47904,4482591
ANTICONVULSANTS,ETHOSUXIMIDE,ETHOSUXIMIDE,ETHOSUXIMIDE : ETHOSUXIMIDE,1669,1996,13857,1580318
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ETIDRONATE DISODIUM,ETIDRONATE DISODIUM,ETIDRONATE DISODIUM : ETIDRONATE DISODIUM,637,569,1799,308895
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",ETODOLAC,ETODOLAC,ETODOLAC : ETODOLAC,219764,70336,637394,27874164
"ANTINEOPLASTIC,OTHER",ETOPOPHOS,ETOPOSIDE PHOSPHATE,ETOPOPHOS : ETOPOSIDE PHOSPHATE,NaN,NaN,12,6252
"ANTINEOPLASTIC,OTHER",ETOPOSIDE,ETOPOSIDE,ETOPOSIDE : ETOPOSIDE,87,85,244,61038
"ANTIPARASITICS,OTHER",EURAX,CROTAMITON,EURAX : CROTAMITON,2998,2323,4823,662010
CONTRACEPTIVES/WOMANS HEALTH ,EVAMIST,ESTRADIOL,EVAMIST : ESTRADIOL,1646,1525,5078,560439
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",EVISTA,RALOXIFENE HCL,EVISTA : RALOXIFENE HCL,309789,120767,1740337,481292383
"ANTIBIOTICS, LINCOMYCINS",CLINDAMYCIN PHOSPHATE-D5W,CLINDAMYCIN PHOSPHATE/D5W,CLINDAMYCIN PHOSPHATE-D5W : CLINDAMYCIN PHOSPHATE/D5W,190,175,414,47979
"AUTONOMIC AGENTS,OTHER",EVOXAC,CEVIMELINE HCL,EVOXAC : CEVIMELINE HCL,3110,2897,11118,3948680
OPIOID ANALGESICS,EXALGO,HYDROMORPHONE HCL,EXALGO : HYDROMORPHONE HCL,14410,6738,63059,56641800
"ANTIFUNGAL,TOPICAL",EXELDERM,SULCONAZOLE NITRATE,EXELDERM : SULCONAZOLE NITRATE,2012,1173,2722,305449
"CNS MEDICATIONS,OTHER",EXELON,RIVASTIGMINE,EXELON : RIVASTIGMINE,235060,78098,1381768,465772266
"CNS MEDICATIONS,OTHER",EXELON,RIVASTIGMINE TARTRATE,EXELON : RIVASTIGMINE TARTRATE,1092,1129,3704,1395838
"ANTINEOPLASTIC,OTHER",EXEMESTANE,EXEMESTANE,EXEMESTANE : EXEMESTANE,36202,13410,176703,55635426
ANTIHYPERTENSIVE COMBINATIONS,EXFORGE,AMLODIPINE/VALSARTAN,EXFORGE : AMLODIPINE/VALSARTAN,126341,62943,726518,160066656
ANTIHYPERTENSIVE COMBINATIONS,EXFORGE HCT,AMLODIPINE/VALSARTAN/HCTHIAZID,EXFORGE HCT : AMLODIPINE/VALSARTAN/HCTHIAZID,40709,25880,219187,47942467
HEAVY METAL ANTAGONISTS,EXJADE,DEFERASIROX,EXJADE : DEFERASIROX,3479,2745,18919,125800329
"IMMUNOLOGICAL AGENTS,OTHER",EXTAVIA,INTERFERON BETA-1B,EXTAVIA : INTERFERON BETA-1B,717,682,4928,16293560
ANTIFUNGALS,EXTINA,KETOCONAZOLE,EXTINA : KETOCONAZOLE,56,57,103,38432
"OPHTHALMICS,OTHER",EYLEA,AFLIBERCEPT,EYLEA : AFLIBERCEPT,214,121,705,1626848
CYANOCOBALAMIN,FABB,CYANOCOBALAMIN/FA/PYRIDOXINE,FABB : CYANOCOBALAMIN/FA/PYRIDOXINE,614,481,2163,61509
"ANTIACNE AGENTS,TOPICAL",FABIOR,TAZAROTENE,FABIOR : TAZAROTENE,13,12,14,7291
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",FABRAZYME,AGALSIDASE BETA,FABRAZYME : AGALSIDASE BETA,29,29,577,7994816
"ANTIBIOTICS, QUINOLONES",FACTIVE,GEMIFLOXACIN MESYLATE,FACTIVE : GEMIFLOXACIN MESYLATE,752,427,1185,410260
CONTRACEPTIVES/WOMANS HEALTH ,FALMINA,LEVONORGESTREL-ETH ESTRADIOL,FALMINA : LEVONORGESTREL-ETH ESTRADIOL,460,502,1975,53578
ANTIVIRALS,FAMCICLOVIR,FAMCICLOVIR,FAMCICLOVIR : FAMCICLOVIR,86761,50059,149648,13432226
"GASTRIC MEDICATIONS, H2 ANTAGONISTS",FAMOTIDINE,FAMOTIDINE,FAMOTIDINE : FAMOTIDINE,922724,253550,4053403,48416221
"GASTRIC MEDICATIONS, H2 ANTAGONISTS",FAMOTIDINE,"FAMOTIDINE IN NACL,ISO-OSM/PF","FAMOTIDINE : FAMOTIDINE IN NACL,ISO-OSM/PF",63,34,75,1395
"GASTRIC MEDICATIONS, H2 ANTAGONISTS",FAMOTIDINE,FAMOTIDINE/PF,FAMOTIDINE : FAMOTIDINE/PF,786,385,3028,21595
ANTIVIRALS,FAMVIR,FAMCICLOVIR,FAMVIR : FAMCICLOVIR,171,186,540,410027
"ANTIPSYCHOTICS, 2ND GENERATION",FANAPT,ILOPERIDONE,FANAPT : ILOPERIDONE,9893,6580,71467,42016340
ANTINEOPLASTIC HORMONES,FARESTON,TOREMIFENE CITRATE,FARESTON : TOREMIFENE CITRATE,385,327,1798,1771714
ANTINEOPLASTIC HORMONES,FASLODEX,FULVESTRANT,FASLODEX : FULVESTRANT,459,386,2295,4452920
"ANTIPSYCHOTICS, 2ND GENERATION",FAZACLO,CLOZAPINE,FAZACLO : CLOZAPINE,3623,2555,54130,28963837
"VITAMIN COMBINATIONS,OTHER",FE C,"IRON,CARBONYL/VIT C/VIT B12/FA","FE C : IRON,CARBONYL/VIT C/VIT B12/FA",371,305,1501,17162
ANTICONVULSANTS,FELBAMATE,FELBAMATE,FELBAMATE : FELBAMATE,2029,1995,19361,13677064
ANTICONVULSANTS,FELBATOL,FELBAMATE,FELBATOL : FELBAMATE,1020,920,8486,9187097
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",FELDENE,PIROXICAM,FELDENE : PIROXICAM,89,98,305,92865
CALCIUM CHANNEL BLOCKERS,FELODIPINE ER,FELODIPINE,FELODIPINE ER : FELODIPINE,157830,84275,917819,54916218
"GENITO-URINARY AGENTS,OTHER",FEM PH,ACETIC ACID/OXYQUINOLINE,FEM PH : ACETIC ACID/OXYQUINOLINE,130,103,184,3923
"ANTINEOPLASTIC,OTHER",FEMARA,LETROZOLE,FEMARA : LETROZOLE,1872,1803,8947,6354513
CONTRACEPTIVES/WOMANS HEALTH ,FEMCON FE,NORETH-ETHINYL ESTRADIOL/IRON,FEMCON FE : NORETH-ETHINYL ESTRADIOL/IRON,52,59,270,30993
CONTRACEPTIVES/WOMANS HEALTH ,FEMHRT,NORETHIND AC/ETHINYL ESTRADIOL,FEMHRT : NORETHIND AC/ETHINYL ESTRADIOL,2011,2078,7622,929456
CONTRACEPTIVES/WOMANS HEALTH ,FEMRING,ESTRADIOL ACETATE,FEMRING : ESTRADIOL ACETATE,2953,2650,8328,1731452
CONTRACEPTIVES/WOMANS HEALTH ,FEMTRACE,ESTRADIOL ACETATE,FEMTRACE : ESTRADIOL ACETATE,43,43,64,4958
ANTILIPEMIC AGENTS,FENOFIBRATE,FENOFIBRATE,FENOFIBRATE : FENOFIBRATE,465989,136967,2385330," $161,297,945.00 "
ANTILIPEMIC AGENTS,FENOFIBRATE,FENOFIBRATE NANOCRYSTALLIZED,FENOFIBRATE : FENOFIBRATE NANOCRYSTALLIZED,417028,159406,2197696," $345,262,758.00 "
ANTILIPEMIC AGENTS,FENOFIBRATE,"FENOFIBRATE,MICRONIZED","FENOFIBRATE : FENOFIBRATE,MICRONIZED",218154,88457,1159102," $97,231,926.00 "
ANTILIPEMIC AGENTS,FENOFIBRIC ACID,FENOFIBRIC ACID,FENOFIBRIC ACID : FENOFIBRIC ACID,1696,1625,6475," $618,554.00 "
ANTILIPEMIC AGENTS,FENOFIBRIC ACID,FENOFIBRIC ACID (CHOLINE),FENOFIBRIC ACID : FENOFIBRIC ACID (CHOLINE),94756,49929,245260," $41,851,100.00 "
ANTILIPEMIC AGENTS,FENOGLIDE,FENOFIBRATE,FENOGLIDE : FENOFIBRATE,883,870,2704," $1,029,571.00 "
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM : FENOPROFEN CALCIUM,1093,992,3959,595079
OPIOID ANALGESICS,FENTANYL,FENTANYL,FENTANYL : FENTANYL,467471,176317,3113162,439364271
OPIOID ANALGESICS,FENTANYL CITRATE,FENTANYL CITRATE,FENTANYL CITRATE : FENTANYL CITRATE,1232,1155,9021,18254662
OPIOID ANALGESICS,FENTANYL CITRATE,FENTANYL CITRATE/PF,FENTANYL CITRATE : FENTANYL CITRATE/PF,907,173,1115,16709
OPIOID ANALGESICS,FENTORA,FENTANYL CITRATE,FENTORA : FENTANYL CITRATE,601,545,3879,27058432
"VITAMIN COMBINATIONS,OTHER",FEROCON,FE FUMARATE/VIT C/B12-IF/FA,FEROCON : FE FUMARATE/VIT C/B12-IF/FA,309,280,1120,22828
"VITAMIN COMBINATIONS,OTHER",FERRALET 90,"IRON, CARB & GLUC/FA/B12/C/DSS","FERRALET 90 : IRON, CARB & GLUC/FA/B12/C/DSS",193,181,540,32745
"VITAMIN COMBINATIONS,OTHER",FERRAPLUS 90,IRON/FA/B12/C/DOCUSATE SODIUM,FERRAPLUS 90 : IRON/FA/B12/C/DOCUSATE SODIUM,41,39,120,3161
"VITAMIN COMBINATIONS,OTHER",FERREX 150 FORTE,IRON PS CMPLX/VIT B12/FA,FERREX 150 FORTE : IRON PS CMPLX/VIT B12/FA,846,816,2642,34089
"VITAMIN COMBINATIONS,OTHER",FERREX 150 FORTE PLUS,IRON ASPGLY&PS/C/B12/FA/CA/SUC,FERREX 150 FORTE PLUS : IRON ASPGLY&PS/C/B12/FA/CA/SUC,842,799,2808,190876
"VITAMIN COMBINATIONS,OTHER",FERREX 28,IRON AG&FUM/C/FA/MV CMB11/CA-T,FERREX 28 : IRON AG&FUM/C/FA/MV CMB11/CA-T,279,249,1210,42073
HEAVY METAL ANTAGONISTS,FERRIPROX,DEFERIPRONE,FERRIPROX : DEFERIPRONE,125,104,766,6150291
IRON,FERRLECIT,SODIUM FERRIC GLUCONAT/SUCROSE,FERRLECIT : SODIUM FERRIC GLUCONAT/SUCROSE,13,NaN,20,4501
"VITAMIN COMBINATIONS,OTHER",FERROCITE PLUS,IRON/FA/VITAMIN B COMP W-C/MIN,FERROCITE PLUS : IRON/FA/VITAMIN B COMP W-C/MIN,124,127,475,7511
"VITAMIN COMBINATIONS,OTHER",FERROGELS FORTE,IRON FUMARATE/VIT C/VIT B12/FA,FERROGELS FORTE : IRON FUMARATE/VIT C/VIT B12/FA,123,104,258,6335
ANTIDEPRESSANTS/SNRI,CYMBALTA,DULOXETINE HCL,CYMBALTA : DULOXETINE HCL,30,25,36,7653
SKELETAL MUSCLE RELAXANTS,FEXMID,CYCLOBENZAPRINE HCL,FEXMID : CYCLOBENZAPRINE HCL,100,101,217,60844
ANTIHISTAMINE/DECONGESTANT,FEXOFENADINE HCL,FEXOFENADINE HCL,FEXOFENADINE HCL : FEXOFENADINE HCL,6851,5436,10458,335355
ANTIHISTAMINE/DECONGESTANT,FEXOFENADINE-PSE ER,FEXOFENADINE/PSEUDOEPHEDRINE,FEXOFENADINE-PSE ER : FEXOFENADINE/PSEUDOEPHEDRINE,256,232,527,55494
ANTILIPEMIC AGENTS,FIBRICOR,FENOFIBRIC ACID,FIBRICOR : FENOFIBRIC ACID,14,14,50," $5,405.00 "
"ANTIACNE AGENTS,TOPICAL",FINACEA,AZELAIC ACID,FINACEA : AZELAIC ACID,31486,13661,50036,10822551
"ANTIACNE AGENTS,TOPICAL",FINACEA PLUS,"AZELAIC ACID/CERAMIDE 1,3,6-11","FINACEA PLUS : AZELAIC ACID/CERAMIDE 1,3,6-11",46,43,54,10601
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",FINASTERIDE,FINASTERIDE,FINASTERIDE : FINASTERIDE,875680,188358,4356965,130857415
NON-OPIOID ANALGESICS,FIORICET,BUTALB/ACETAMINOPHEN/CAFFEINE,FIORICET : BUTALB/ACETAMINOPHEN/CAFFEINE,470,526,1939,444517
OPIOID ANALGESICS,FIORICET WITH CODEINE,BUTALBIT/ACETAMIN/CAFF/CODEINE,FIORICET WITH CODEINE : BUTALBIT/ACETAMIN/CAFF/CODEINE,205,240,981,478603
NON-OPIOID ANALGESICS,FIORINAL,BUTALBITAL/ASPIRIN/CAFFEINE,FIORINAL : BUTALBITAL/ASPIRIN/CAFFEINE,131,141,446,100000
OPIOID ANALGESICS,FIORINAL WITH CODEINE #3,CODEINE/BUTALBITAL/ASA/CAFFEIN,FIORINAL WITH CODEINE #3 : CODEINE/BUTALBITAL/ASA/CAFFEIN,292,361,2135,998832
"IMMUNOLOGICAL AGENTS,OTHER",FIRAZYR,ICATIBANT ACETATE,FIRAZYR : ICATIBANT ACETATE,217,174,1117,47942335
ANTINEOPLASTIC HORMONES,FIRMAGON,DEGARELIX ACETATE,FIRMAGON : DEGARELIX ACETATE,265,148,1049,608073
"NASAL AND THROAT,TOPICAL,OTHER",FIRST-DUKE'S,NYSTATIN/HYDROCORTISONE/DIPHEN,FIRST-DUKE'S : NYSTATIN/HYDROCORTISONE/DIPHEN,27,26,40,1793
"GASTRIC MEDICATIONS,OTHER",APRISO,MESALAMINE,APRISO : MESALAMINE,21793,12265,101712,37749259
MISCELLANEOUS AGENTS,FIRST-MARY'S,NYSTATIN/TCN/HC/DIPHENHYDRAMIN,FIRST-MARY'S : NYSTATIN/TCN/HC/DIPHENHYDRAMIN,77,76,105,5369
"ANESTHETICS,MUCOSAL",FIRST-MOUTHWASH BLM,MAG&AL/SIM/DIPHENHYD/LIDOCAINE,FIRST-MOUTHWASH BLM : MAG&AL/SIM/DIPHENHYD/LIDOCAINE,26,26,28,1142
"GASTRIC MEDICATIONS,OTHER",ASACOL,MESALAMINE,ASACOL : MESALAMINE,53673,34655,124037,54716529
"ANTIBIOTICS, NITROIMIDAZOLE",FLAGYL,METRONIDAZOLE,FLAGYL : METRONIDAZOLE,305,314,407,79288
"ANTIBIOTICS, NITROIMIDAZOLE",FLAGYL ER,METRONIDAZOLE,FLAGYL ER : METRONIDAZOLE,337,317,383,89275
"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",FLAREX,FLUOROMETHOLONE ACETATE,FLAREX : FLUOROMETHOLONE ACETATE,1472,917,3081,174083
"ANTISPASMODICS,URINARY",FLAVOXATE HCL,FLAVOXATE HCL,FLAVOXATE HCL : FLAVOXATE HCL,8551,6217,25570,2085260
IMMUNOGLOBULINS,FLEBOGAMMA DIF,"IMMUNE GLOBULIN,GAMMA(IGG)","FLEBOGAMMA DIF : IMMUNE GLOBULIN,GAMMA(IGG)",28,28,185,1185965
ANTIARRHYTHMICS,FLECAINIDE ACETATE,FLECAINIDE ACETATE,FLECAINIDE ACETATE : FLECAINIDE ACETATE,109764,50200,576885,27429219
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",FLECTOR,DICLOFENAC EPOLAMINE,FLECTOR : DICLOFENAC EPOLAMINE,60547,35688,142374,46756710
PROSTAGLANDINS,FLOLAN,EPOPROSTENOL SODIUM (GLYCINE),FLOLAN : EPOPROSTENOL SODIUM (GLYCINE),NaN,NaN,32,103404
ALPHA BLOCKERS/RELATED,FLOMAX,TAMSULOSIN HCL,FLOMAX : TAMSULOSIN HCL,7686,7464,33450,9781088
"ANTI-INFLAMMATORIES,NASAL",FLONASE,FLUTICASONE PROPIONATE,FLONASE : FLUTICASONE PROPIONATE,2865,2861,7016,818322
"ANTI-INFLAMMATORIES,INHALATION",FLOVENT DISKUS,FLUTICASONE PROPIONATE,FLOVENT DISKUS : FLUTICASONE PROPIONATE,35645,26133,111152,19441783
"ANTI-INFLAMMATORIES,INHALATION",FLOVENT HFA,FLUTICASONE PROPIONATE,FLOVENT HFA : FLUTICASONE PROPIONATE,306024,140050,991473,227246687
ANTIFUNGALS,FLUCONAZOLE,FLUCONAZOLE,FLUCONAZOLE : FLUCONAZOLE,1311332,376625,2340398,25790278
ANTIARRHYTHMICS,FLUCONAZOLE IN DEXTROSE,"FLUCONAZOLE IN DEXTROSE,ISO-OS","FLUCONAZOLE IN DEXTROSE : FLUCONAZOLE IN DEXTROSE,ISO-OS",62,62,220,14711
ANTIFUNGALS,FLUCONAZOLE IN SALINE,"FLUCONAZOLE IN NACL,ISO-OSM","FLUCONAZOLE IN SALINE : FLUCONAZOLE IN NACL,ISO-OSM",994,931,2627,153962
ANTIFUNGALS,FLUCONAZOLE-NACL,"FLUCONAZOLE IN NACL,ISO-OSM","FLUCONAZOLE-NACL : FLUCONAZOLE IN NACL,ISO-OSM",23,23,42,2208
ANTIFUNGALS,FLUCYTOSINE,FLUCYTOSINE,FLUCYTOSINE : FLUCYTOSINE,117,124,199,635888
"ANTINEOPLASTICS,ANTIMETABOLITES",FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE : FLUDARABINE PHOSPHATE,39,34,125,79398
GLUCOCORTICOIDS,FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE : FLUDROCORTISONE ACETATE,89372,68277,449981,12773035
"ANTIDOTES/DETERRENTS,OTHER",FLUMAZENIL,FLUMAZENIL,FLUMAZENIL : FLUMAZENIL,600,69,635,9148
"ANTI-INFLAMMATORIES,NASAL",FLUNISOLIDE,FLUNISOLIDE,FLUNISOLIDE : FLUNISOLIDE,42245,26936,108176,6719100
GLUCOCORTICOIDS,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE : FLUOCINOLONE ACETONIDE,82850,38490,138097,13543976
GLUCOCORTICOIDS,FLUOCINOLONE ACETONIDE,FLUOCINOLONE/SHOWER CAP,FLUOCINOLONE ACETONIDE : FLUOCINOLONE/SHOWER CAP,33843,16398,57894,4295562
"ANTI-INFLAMMATORIES,TOPICAL OTIC",FLUOCINOLONE ACETONIDE OIL,FLUOCINOLONE ACETONIDE OIL,FLUOCINOLONE ACETONIDE OIL : FLUOCINOLONE ACETONIDE OIL,51231,16242,71142,4839371
"ANTI-INFLAMMATORY,TOPICAL",FLUOCINONIDE,FLUOCINONIDE,FLUOCINONIDE : FLUOCINONIDE,533557,119921,997860,41070870
"ANTI-INFLAMMATORY,TOPICAL",FLUOCINONIDE EMOLLIENT,FLUOCINONIDE/EMOLLIENT BASE,FLUOCINONIDE EMOLLIENT : FLUOCINONIDE/EMOLLIENT BASE,1278,1075,1863,48405
"ANTI-INFLAMMATORY,TOPICAL",FLUOCINONIDE-E,FLUOCINONIDE/EMOLLIENT BASE,FLUOCINONIDE-E : FLUOCINONIDE/EMOLLIENT BASE,21226,9808,35126,1133911
